date,daily_cash_flow,cash_balance,outstanding_debt,new_debt_issued,unconventional_used,unconventional_remaining,debt_headroom
2025-08-08,4655926257.888372,504655926257.88837,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-08-09,5066426257.888372,509722352515.77673,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-08-10,2317176257.888373,512039528773.6651,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-08-11,10402195139.58453,522441723913.24963,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-08-12,13707995909.443953,536149719822.6936,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-08-13,4571026655.059741,540720746477.75336,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-08-14,6584050924.555039,547304797402.3084,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-08-15,-2812290408.7782936,544492506993.5301,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-08-16,-12548600408.778297,531943906584.7518,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-08-17,4437899591.221707,536381806175.97345,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-08-18,12928192917.362309,549309999093.33575,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-08-19,12746428104.5659,562056427197.9016,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-08-20,3420909619.4124613,565477336817.3141,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-08-21,6245963888.907761,571723300706.2218,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-08-22,-4040040777.758905,567683259928.4629,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-08-23,2923620888.90776,570606880817.3706,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-08-24,3155530888.90776,573762411706.2783,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-08-25,11404721806.251196,585167133512.5295,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-08-26,12071449771.232569,597238583283.7621,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-08-27,3664343310.055152,600902926593.8173,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-08-28,16757290948.59807,617660217542.4153,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-08-29,-1151941134.5442777,616508276407.871,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-08-30,5592674260.982181,622100950668.8531,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-08-31,552959378.5146044,622653910047.3678,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-09-01,-4148103419.8806,618505806627.4872,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-09-02,27107471244.183495,645613277871.6707,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-09-03,18470298901.19936,664083576772.87,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-09-04,19370250924.55504,683453827697.425,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-09-05,2512196257.8883724,685966023955.3135,36215806064740.36,0,0,704193935259.6406,704193935259.6406
2025-09-06,2801446257.8883724,688767470213.2019,36215806064740.36,0,0,704193935259.6406,704193935259.6406
